ticker,year,folder_name,exchange,lagged_year,company_name
ATML,2010,,,,
ATML,2011,,,,
ATML,2012,,,,
ATML,2013,,,,
ATML,2014,,,,
ATRO,2014,,,,
AVA,2011,,,,
AVAV,2005,,,,
AVAV,2007,,,,
AVAV,2008,,,,
AVAV,2009,,,,
AVAV,2010,,,,
AVAV,2011,,,,
AVAV,2012,,,,
AVAV,2013,,,,
AVAV,2014,,,,
AVAV,2015,,,,
AVAV,2016,,,,
AVAV,2017,,,,
AVGO,2009,,,,
AVGO,2010,,,,
AVGO,2011,,,,
AVGO,2012,,,,
AVGO,2013,,,,
AVGO,2014,,,,
AVGO,2015,,,,
AVGO,2016,,,,
AVY,2008,,,,
AVY,2010,,,,
AVY,2013,,,,
AWK,2010,,,,
AWK,2013,,,,
AWRE,2009,,,,
AWRE,2010,,,,
AWRE,2012,,,,
AWRE,2013,,,,
AXL,2009,,,,
AXL,2010,,,,
AXL,2011,,,,
AXL,2013,,,,
AXON,2016,,,,
AYI,2006,,,,
AYI,2007,,,,
AYI,2008,,,,
AYI,2009,,,,
AYI,2010,,,,
AYI,2011,,,,
AYI,2012,,,,
AYI,2013,,,,
AYI,2014,,,,
AYI,2015,,,,
AYI,2016,,,,
AYI,2017,,,,
AYI,2018,,,,
AZPN,2011,,,,
AZTA,2005,,,,
AZTA,2007,,,,
AZTA,2008,,,,
AZTA,2009,,,,
AZTA,2011,,,,
AZTA,2012,,,,
AZTA,2013,,,,
B,2011,,,,
BA,2003,,,,
BA,2004,,,,
BA,2005,,,,
BA,2006,,,,
BA,2007,,,,
BAX,2003,,,,
BC,2007,,,,
BC,2008,,,,
BC,2009,,,,
BC,2010,,,,
BC,2011,,,,
BC,2012,,,,
BC,2013,,,,
BC,2014,,,,
BC,2015,,,,
BC,2016,,,,
BCR,2009,,,,
BCR,2013,,,,
BCR,2014,,,,
BCRX,2005,,,,
BCRX,2009,,,,
BCRX,2014,,,,
BDK,2004,,,,
BDK,2007,,,,
BDK,2008,,,,
BDX,2002,,,,
BDX,2007,,,,
BE,2015,,,,
BE,2016,,,,
BEAV,2008,,,,
BEAV,2009,,,,
BEAV,2011,,,,
BEAV,2012,,,,
BEAV,2013,,,,
BEAV,2014,,,,
BEAV,2015,,,,
BEAV,2016,,,,
BGG,2008,,,,
BGG,2009,,,,
BGG,2010,,,,
BGG,2011,,,,
BGG,2013,,,,
BGG,2014,,,,
BGG,2015,,,,
BGG,2016,,,,
BGG,2017,,,,
BGG,2018,,,,
BIIB,2012,,,,
BKR,2014,,,,
BKR,2015,,,,
BKR,2016,,,,
BMI,2007,,,,
BMI,2008,,,,
BMI,2009,,,,
BMI,2010,,,,
BMI,2011,,,,
BMRN,2009,,,,
BMTI,2009,,,,
BMTI,2011,,,,
BMY,2006,,,,
BMY,2007,,,,
BMY,2008,,,,
BMY,2011,,,,
BMY,2012,,,,
BMY,2015,,,,
BMY,2017,,,,
BPTH,2017,,,,
BRCD,2003,,,,
BRCD,2008,,,,
BRCD,2009,,,,
BRCD,2010,,,,
BRCD,2011,,,,
BRCD,2012,,,,
BRCD,2013,,,,
BRCD,2014,,,,
BRCD,2015,,,,
BRCM,2002,,,,
BRCM,2003,,,,
BRCM,2004,,,,
BRCM,2005,,,,
BRCM,2006,,,,
BRCM,2007,,,,
BRCM,2008,,,,
BRCM,2009,,,,
BRCM,2010,,,,
BRCM,2011,,,,
BRCM,2012,,,,
BRCM,2013,,,,
BRCM,2014,,,,
BRCM,2015,,,,
BSX,2010,,,,
BW,2015,,,,
BW,2017,,,,
BWA,2006,,,,
BWA,2007,,,,
