folder_name,perspective_taking,length,readability_fog,readability_flesch_reading_ease,readability_smog,readability_automated_readability,sentiment_polarity,sentiment_subjectivity,comparative,superlative,present,past,future,ESGBERT/EnvironmentalBERT-forest_class_0,ESGBERT/EnvironmentalBERT-forest_class_1,ESGBERT/EnvironmentalBERT-action_class_0,ESGBERT/EnvironmentalBERT-action_class_1,ESGBERT/EnvironmentalBERT-environmental_class_0,ESGBERT/EnvironmentalBERT-environmental_class_1,ESGBERT/GovernanceBERT-governance_class_0,ESGBERT/GovernanceBERT-governance_class_1,ESGBERT/SocialBERT-social_class_0,ESGBERT/SocialBERT-social_class_1,ESGBERT/EnvironmentalBERT-water_class_0,ESGBERT/EnvironmentalBERT-water_class_1,ESGBERT/EnvironmentalBERT-biodiversity_class_0,ESGBERT/EnvironmentalBERT-biodiversity_class_1,exchange,ticker,year1,year2
NYSE_PFS_2019,0.0177664959588412,12.196365685060032,13.5,24.31,17.5,18.6,0.1121717351724987,0.3703378894244478,117,17,2245,1161,85,0.99724018573761,0.0027598165906965,0.5254342555999756,0.4745657444000244,0.6747371554374695,0.3252628445625305,0.8983678817749023,0.1016321629285812,0.4733083546161651,0.5266916155815125,0.9924757480621338,0.0075242547318339,0.9998452663421632,0.0001547654246678,NYSE,PFS,2019,nan
NYSE_HRL_2019,0.0067842595950801,11.622407475587226,11.78,21.94,17.3,17.7,0.1524672596311249,0.3930921063063928,84,34,944,676,26,0.988595962524414,0.0114040467888116,0.4282671511173248,0.5717328190803528,0.6223341822624207,0.3776657879352569,0.8690176010131836,0.1309823840856552,0.578098714351654,0.4219012856483459,0.8796497583389282,0.1203502863645553,0.9899904727935792,0.010009603574872,NYSE,HRL,2019,nan
NYSE_WM_2021,0.0215749707038866,12.158629823287823,10.82,32.53,16.0,15.0,0.1125717261593148,0.3825443304266001,118,35,2064,1252,49,0.965121567249298,0.0348784476518631,0.4728642404079437,0.5271358489990234,0.4355102777481079,0.5644897818565369,0.9662977457046508,0.0337023362517356,0.7703529596328735,0.2296470701694488,0.9733008742332458,0.0266991052776575,0.9613050818443298,0.0386949516832828,NYSE,WM,2021,nan
NYSE_VEDL_2016,0.0083402828740381,12.302441355802484,12.23,20.52,17.9,18.0,0.1217177755512487,0.3879048864244168,85,48,2165,1351,44,0.98590487241745,0.0140950707718729,0.4439465999603271,0.5560534000396729,0.490003764629364,0.5099962949752808,0.8756415247917175,0.124358557164669,0.5621822476387024,0.4378177225589752,0.8975734114646912,0.10242660343647,0.9497296810150146,0.0502703115344047,NYSE,VEDL,2016,nan
NYSE_JWN_2021,0.0077519367826454,11.181779021104363,12.4,30.2,16.0,16.5,0.138812424743131,0.3992171012109868,31,14,803,481,20,0.9951398372650146,0.0048601701855659,0.1993050873279571,0.8006949424743652,0.6496582627296448,0.3503417670726776,0.8376721143722534,0.1623278856277465,0.4148771464824676,0.58512282371521,0.9703604578971864,0.0296395290642976,0.985965132713318,0.014034854248166,NYSE,JWN,2021,nan
NYSE_CHK_2017,0.0033670022333325,10.648562825956432,12.9,15.91,17.3,17.0,0.1353972495667702,0.3806002185283011,19,10,447,209,5,0.999470353126526,0.0005296235904097,0.4035223722457886,0.5964775681495667,0.6034969687461853,0.3965030610561371,0.8738182783126831,0.1261817216873169,0.576407790184021,0.4235922396183014,0.9078186750411988,0.0921812653541565,0.96940940618515,0.0305905286222696,NYSE,CHK,2017,nan
NYSE_BHP_2005,0.0093360992622372,13.640464073540205,11.67,19.2,18.3,18.4,0.10883866238003,0.3952617825240804,363,162,7817,5886,228,0.98744398355484,0.012555937282741,0.6258623003959656,0.3741376399993896,0.5081756114959717,0.4918244183063507,0.9188823103904724,0.0811176523566246,0.6701552867889404,0.3298447132110595,0.934459626674652,0.0655403882265091,0.963464856147766,0.0365351438522338,NYSE,BHP,2005,nan
NYSE_DELL_2008,0.011089366530374,12.916202304030104,9.81,25.08,16.3,15.7,0.1261568429558886,0.3686293048379936,279,102,3934,2193,126,0.9387659430503844,0.0612340122461319,0.3551322221755981,0.6448677778244019,0.506410539150238,0.4935894906520843,0.90062415599823,0.0993757769465446,0.6950819492340088,0.304917961359024,0.982446789741516,0.01755316182971,0.9953669309616088,0.0046331901103258,NYSE,DELL,2008,nan
NYSE_TMO_2014,0.0168539231157735,10.268095943298984,13.72,29.79,16.6,16.7,0.145933373840797,0.3614164315017558,22,3,299,206,5,0.9998329877853394,0.0001670127821853,0.188242420554161,0.8117575645446777,0.6433566212654114,0.3566433787345886,0.9660213589668274,0.0339786373078823,0.5145615339279175,0.4854384958744049,0.9242026805877686,0.0757973566651344,0.9998300671577454,0.000169913371792,NYSE,TMO,2014,nan
NYSE_AA_2019,0.0061996276379648,12.553742666576763,10.89,23.26,17.0,16.3,0.0823971317279495,0.3749448221366432,109,48,2598,1939,53,0.9579097628593444,0.0420901738107204,0.4805995225906372,0.5194004774093628,0.4841638505458832,0.5158361196517944,0.9096068143844604,0.0903931185603141,0.7259226441383362,0.2740772366523742,0.8978744149208069,0.1021255701780319,0.9303743839263916,0.0696256384253501,NYSE,AA,2019,nan
NYSE_JEC_2010,0.0113895203428792,11.99675186796939,10.94,24.78,16.4,16.3,0.1181528285048284,0.3873281797177189,85,62,1464,881,23,0.9829410910606384,0.0170589629560709,0.6200050711631775,0.3799948692321777,0.3105777204036712,0.6894223093986511,0.9162061810493468,0.0837938413023948,0.6311545968055725,0.3688453733921051,0.9313220977783204,0.0686778649687767,0.9863183498382568,0.0136815914884209,NYSE,JEC,2010,nan
NYSE_FLR_2011,0.0257009285745494,12.313356310749848,11.5,21.74,17.6,17.9,0.1408350956084301,0.3700050616415758,84,65,1908,1261,24,0.989106059074402,0.0108938738703727,0.6196961402893066,0.3803038597106933,0.5618041753768921,0.4381957650184631,0.7869247198104858,0.2130752801895141,0.4494707882404327,0.5505291819572449,0.9749594926834106,0.0250404737889766,0.986275851726532,0.0137242013588547,NYSE,FLR,2011,nan
NYSE_GIS_2011,0.039665966631945,12.19459705205515,10.3,41.7,15.1,14.0,0.1450817959876006,0.3814675219633394,207,68,2127,1344,61,0.9578068256378174,0.0421931557357311,0.2734266221523285,0.7265733480453491,0.5790162682533264,0.4209837317466736,0.943999171257019,0.0560008697211742,0.5717698335647583,0.4282301366329193,0.9146038889884948,0.0853961110115051,0.9862840175628662,0.0137159833684563,NYSE,GIS,2011,nan
NYSE_RMD_2012,0.0103420835050052,12.509667436442005,10.34,31.92,16.1,15.6,0.0443947742650683,0.3465903149365655,70,10,1962,2009,83,0.9998215436935424,0.0001784459309419,0.9049857258796692,0.095014214515686,0.9748886227607728,0.025111436843872,0.9405628442764282,0.0594371259212493,0.9981639981269836,0.0018360173562541,0.999820113182068,0.0001798964513,0.9994972348213196,0.0005028318264521,NYSE,RMD,2012,nan
