folder_name,perspective_taking,length,readability_fog,readability_flesch_reading_ease,readability_smog,readability_automated_readability,sentiment_polarity,sentiment_subjectivity,comparative,superlative,present,past,future,ESGBERT/EnvironmentalBERT-forest_class_0,ESGBERT/EnvironmentalBERT-forest_class_1,ESGBERT/EnvironmentalBERT-action_class_0,ESGBERT/EnvironmentalBERT-action_class_1,ESGBERT/EnvironmentalBERT-environmental_class_0,ESGBERT/EnvironmentalBERT-environmental_class_1,ESGBERT/GovernanceBERT-governance_class_0,ESGBERT/GovernanceBERT-governance_class_1,ESGBERT/SocialBERT-social_class_0,ESGBERT/SocialBERT-social_class_1,ESGBERT/EnvironmentalBERT-water_class_0,ESGBERT/EnvironmentalBERT-water_class_1,ESGBERT/EnvironmentalBERT-biodiversity_class_0,ESGBERT/EnvironmentalBERT-biodiversity_class_1,exchange,ticker,year1,year2
NASDAQ_CEQP_2019,0.0064516087408975,10.355804439421526,22.82,-7.64,23.6,29.3,0.123662023595134,0.4190424848284378,6,5,279,192,6,0.9883604645729064,0.0116395661607384,0.5427972674369812,0.4572027623653412,0.5799721479415894,0.4200279116630554,0.8693854212760925,0.1306145340204239,0.5500345826148987,0.4499654173851013,0.974324643611908,0.0256753582507371,0.9357449412345886,0.0642550662159919,NASDAQ,CEQP,2019.0,
NASDAQ_ZEAL_2013,0.0,9.236300473645716,15.97,20.92,18.1,17.2,0.1716061282467532,0.4325301001082254,2,2,111,69,1,0.9998713731765748,0.0001286901970161,0.6076349020004272,0.3923651278018951,0.5496360659599304,0.4503638744354248,0.7043679356575012,0.2956320643424988,0.4008381962776184,0.5991618037223816,0.9564770460128784,0.0435229390859603,0.99966299533844,0.0003370308259036,NASDAQ,ZEAL,2013.0,
NASDAQ_LOGI_2018,0.0133928559470664,11.98132781284899,12.18,20.72,17.3,17.5,0.1533301591896713,0.4219078241846902,70,27,1653,834,21,0.9913393259048462,0.0086607476696372,0.429682582616806,0.5703174471855164,0.4563317894935608,0.543668270111084,0.8369238376617432,0.1630762070417404,0.5697256326675415,0.4302743971347809,0.970602571964264,0.0293974224478006,0.9998229742050172,0.0001771154056768,NASDAQ,LOGI,2018.0,
NASDAQ_PTC_2018_2019,0.0047169789070854,10.512328784042817,14.17,28.47,17.4,17.2,0.1329917197457061,0.3785436823363926,26,3,436,189,4,0.9763249158859252,0.0236750375479459,0.289334237575531,0.7106658220291138,0.6739014983177185,0.3260985016822815,0.9184236526489258,0.0815763473510742,0.3738461136817932,0.6261539459228516,0.9764181971549988,0.0235818196088075,0.9995455741882324,0.0004544213297776,NASDAQ,PTC,2018.0,2019.0
NASDAQ_EGLE_2019,0.0086206822235498,10.46296047312364,15.18,26.85,17.7,18.3,0.0623451852743732,0.3814354450607645,18,15,347,229,4,0.9876857995986938,0.012314299121499,0.7391026020050049,0.2608974874019623,0.4849390089511871,0.5150609612464905,0.8116831183433533,0.1883168518543243,0.7782362699508667,0.2217637449502945,0.8559679985046387,0.1440319865942001,0.9763473868370056,0.023652609437704,NASDAQ,EGLE,2019.0,
NASDAQ_INFN_2020,0.0009107467294401,11.708845804426998,13.45,10.03,18.9,19.6,0.1272856366131797,0.371186067906912,29,31,1111,590,15,0.992794632911682,0.0072054038755595,0.3917891383171081,0.6082109212875366,0.5645745396614075,0.4354254603385925,0.7786932587623596,0.2213068157434463,0.4565069377422333,0.5434930324554443,0.9610803723335266,0.0389196649193763,0.9997550249099731,0.000245056085987,NASDAQ,INFN,2020.0,
NASDAQ_AMAT_2016,0.0275229105294398,10.64818299497665,13.18,22.75,17.5,17.4,0.1093560203600772,0.3402168037056473,17,14,365,212,3,0.9792400002479552,0.0207600053399801,0.4360013604164123,0.5639985799789429,0.5492924451828003,0.4507075846195221,0.9372263550758362,0.0627736672759056,0.5292260050773621,0.4707740843296051,0.9176412224769592,0.0823587849736213,0.9997017979621888,0.0002981390571221,NASDAQ,AMAT,2016.0,
NASDAQ_PRGO_2020,0.0381679243633876,10.917793892150982,12.31,23.46,16.7,15.9,0.1416449768003635,0.3858061689691527,38,15,552,340,14,0.9340260028839112,0.0659739822149276,0.2769769728183746,0.7230229377746582,0.5997681021690369,0.4002320170402527,0.9229094982147216,0.0770904421806335,0.4272750616073608,0.5727249383926392,0.945684015750885,0.0543160326778888,0.9921356439590454,0.007864311337471,NASDAQ,PRGO,2020.0,
NASDAQ_MSFT_2015,0.0110294109537197,12.169730186227342,13.39,17.27,19.2,20.2,0.1285243327827191,0.374644350747292,87,44,1842,786,30,0.9974785447120668,0.0025214799679815,0.3151294589042663,0.6848705410957336,0.5893267393112183,0.4106731712818146,0.7735626101493835,0.2264373302459716,0.458073228597641,0.5419267416000366,0.9611388444900512,0.0388610959053039,0.9956552982330322,0.0043446794152259,NASDAQ,MSFT,2015.0,
NASDAQ_FLIR_2018,0.0315789362880925,10.7213713144974,13.54,28.37,16.4,16.3,0.1364260245580472,0.4459365395320449,22,14,577,238,11,0.9868239760398864,0.0131760435178875,0.6654760241508484,0.334524005651474,0.655555009841919,0.3444450199604034,0.8496886491775513,0.1503113210201263,0.725016713142395,0.274983286857605,0.9813233017921448,0.0186767019331455,0.9998414516448976,0.0001585234422236,NASDAQ,FLIR,2018.0,
