ticker
CEQP
ZEAL
LOGI
PTC
EGLE
INFN
AMAT
PRGO
MSFT
FLIR
PRGS
COMM
BIIB
PFG
TRMB
WYNN
UNFI
BPOP
KALU
COLM
JBLU
SNBR
SP
AAWW
CNSL
PETD
COST
TSLA
HA
CRTO
MKTX
REGI
AMD
ACIW
FB
EXLS
BCPC
INTC
SBNY
VRSK
ADBE
NTGR
NLOK
FSLR
CAR
SLAB
CSCO
MYL
AAPL
STX
PANL
TORM
SBUX
XEL
VECO
ADSK
ICFI
VRA
TROW
GNTX
CHRW
FITB
PBCT
CME
EBAY
VSAT
TCOM
ROST
MDLZ
NVDA
MATW
GMAB
AMGN
SASR
AMAL
AAL
FLS
CBOE
ILMN
FELE
QCOM
PYPL
XLNX
SONO
XRAY
FLEX
CAMP
ERIC
ARCB
UIHC
SAFM
MCHP
IOSP
TEAM
DLGS
SSRM
RUN
DNKN
CPIX
EQIX
PLCE
TPIC
SPWR
AMZN
AAON
SENEA
CDNS
NDAQ
DECK
EXTR
VRTU
KFRC
OZK
TTEK
CWST
EXAS
KELYA
HOLX
STLD
CINF
SEDG
KDP
LRCX
DLTR
MEOH
RBBN
PTEN
WEN
TETY
FARM
CG
AEGN
INTU
AGII
OTEX
CONE
WDC
TXN
ZION
AZPN
BLDP
NTRS
ADI
DXCM
GOGL
LOVE
DOO
FISV
SFM
LNDC
ON
CSX
NCLH
SGH
HURN
BREW
FANG
CCRN
SBLK
CMCSA
AVGO
SGC
GEVO
REGN
ARNA
CAC
SHOO
AGIO
ALXN
FFBC
LSCC
NXPI
SANM
UCBI
VREX
BKNG
PDCO
ITRI
SCHN
WWD
CTAS
ESTA
SSYS
ISRG
UMPQ
XOG
VEON
GRMN
FHB
MMSI
ERII
CLNE
LBTYA
TSCO
MSEX
PAYX
BBBY
NBIX
HWC
KLAC
CVGW
SNPS
CZR
GOOG
CVLT
AKAM
HSIC
NUAN
MELI
SPTN
WETF
RAVN
FWRD
SGS
ASNA
WBA
VIAV
CREE
THRM
GFS
NSIT
VRNT
PRAH
GPOR
WLDN
AER
RMR
SG
NDSN
SWIR
HWKN
CRMT
BLKB
KE
IDXX
SIVB
MXIM
AY
Z
PENN
ANSS
PEGI
CTXS
GPRE
QRVO
BRKS
PZZA
AMRS
SWKS
CBSH
LPLA
GLDD
KHC
ALKS
JNPR
COHU
ESLT
HAIN
DIOD
CSIQ
EXPD
EPAY
USNA
NTAP
TRUP
LYFT
MIK
SIGI
INBK
CEVA
VRTX
ECOL
TBK
ROCK
ACGL
SYKE
ASML
STBA
WASH
PPC
AXON
CAKE
UTHR
UMBF
WNFM
DPS
TER
KLIC
SRCL
COUP
MGEE
OTTR
AIMC
HTBK
RGEN
MGLN
OLED
PFS
HRL
WM
VEDL
JWN
CHK
BHP
DELL
TMO
AA
JEC
FLR
GIS
RMD
VC
INGR
SERV
AEE
KNL
NI
WMB
URI
CAJ
RCI
ALB
UPS
KO
ADM
YUMC
DCI
CMP
UNM
GS
KEYS
PRU
VST
LLY
KSS
ACI
MTX
RBC
SPXC
GPS
KRC
BKI
ELAN
ENLC
DAL
RHP
IBM
MMS
BAX
SYF
PCG
SUPV
CLS
WSM
TT
ABC
MCK
GTI
DUK
HES
INFY
EOG
SLM
HOG
NRG
KR
IAG
SNE
BCE
PK
HY
LXK
CTB
SON
JNJ
COLD
DTE
A
SXC
T
KMX
BXP
ABT
RELX
STZ
OC
SWK
JBGS
GVA
NEM
MLM
TRU
STT
BMY
CWT
EGY
APD
ROK
GM
ATI
VTR
CBRE
ACA
LMT
CWK
DLR
FMX
MRO
TVE
MHK
EME
CBZ
VAL
KOP
RDS
BERY
BTU
AU
PNM
AVT
CPA
PG
ATR
KBR
DXC
CAT
ABEV
NBL
DFS
MRK
AVP
EPC
AXP
PBI
MTD
NKE
SHEL
TPX
RSG
LVS
HDB
IFF
CCL
VALE
TV
CI
APAM
EL
KOS
SXT
PEP
THO
COF
CRC
CXW
KMB
ITW
KB
BG
CNP
CVX
ALV
AMT
GPK
WAB
CVS
DE
HPE
ALLY
AEP
PPG
TUP
PGRE
BSX
LOW
ATO
NSC
PRO
GT
OMC
APO
DGX
AAT
WLK
WFC
PNW
GSH
B
HUN
WHR
WMT
TECK
PDM
XHR
GIL
ACM
QVCC
AGN
CFG
CLB
SPP
ALL
PNC
NGVT
WDAY
ADS
RL
PLD
ES
SPGI
SQM
MMM
AHH
BKR
CS
HAS
NEE
TEVA
RF
DNB
NJR
TDC
TCO
AFL
BK
FCN
GEO
CHD
PH
CPT
BHC
PEAK
ED
CLNY
DRE
RRC
PM
DIS
NHS
SITC
ZEN
LEA
UFI
VMC
CC
AVYA
MBT
TREX
AROC
KBH
TXT
UFS
TI
CTL
TJX
hpq
CMA
CB
XOM
VLRS
FUL
PSA
MAN
VNO
DVN
ARE
ARNC
PII
BA
NNN
AVB
SHG
WRI
TROX
UNP
ANET
UNVR
CCI
MIC
M
MPC
LPL
AES
HT
OSK
CL
MKC
CSTM
VRS
SKT
BWA
DAR
MET
RDY
JHG
STM
ORA
CNHI
AWR
BAH
ZMH
APTS
INFO
ZNH
SCS
SJW
IP
JLL
AM
LND
DHR
SUM
DNR
FSP
FMC
GPN
NAV
CPB
UTL
INN
ARMK
COP
SR
ACH
CALM
PGR
PSX
PBR
MMP
CMI
KIM
NVS
MS
ADP
KW
WST
FCX
K
OFC
VMW
ECL
SIG
ODP
ITT
NOC
OIS
HRC
PPL
AIZ
IQV
ALK
AWK
FDS
CF
IVZ
AQUA
CNDT
VAC
EQR
CEIX
BMI
CNX
NP
ASGN
IVC
SWN
TGNA
NSP
KEY
FRT
HUM
RCL
CMS
GEF
WMK
MUR
FSS
GWW
CHT
CAG
ROL
ARCO
CXP
TK
BKD
SHW
PKI
VSTO
CMC
VZ
MTG
TM
DDS
ACN
PAYC
SLG
