folder_name,perspective_taking,length,readability_fog,readability_flesch_reading_ease,readability_smog,readability_automated_readability,sentiment_polarity,sentiment_subjectivity,comparative,superlative,present,past,future,ESGBERT/EnvironmentalBERT-forest_class_0,ESGBERT/EnvironmentalBERT-forest_class_1,ESGBERT/EnvironmentalBERT-action_class_0,ESGBERT/EnvironmentalBERT-action_class_1,ESGBERT/EnvironmentalBERT-environmental_class_0,ESGBERT/EnvironmentalBERT-environmental_class_1,ESGBERT/GovernanceBERT-governance_class_0,ESGBERT/GovernanceBERT-governance_class_1,ESGBERT/SocialBERT-social_class_0,ESGBERT/SocialBERT-social_class_1,ESGBERT/EnvironmentalBERT-water_class_0,ESGBERT/EnvironmentalBERT-water_class_1,ESGBERT/EnvironmentalBERT-biodiversity_class_0,ESGBERT/EnvironmentalBERT-biodiversity_class_1
NYSE_JEC_2010,0.011389520342879232,11.99675186796939,10.94,24.78,16.4,16.3,0.11815282850482843,0.38732817971771893,85,62,1464,881,23,0.9829410910606384,0.0170589629560709,0.6200050711631775,0.37999486923217773,0.31057772040367126,0.6894223093986511,0.9162061810493469,0.08379384130239487,0.6311545968055725,0.3688453733921051,0.9313220977783203,0.0686778649687767,0.9863183498382568,0.013681591488420963
NYSE_FLR_2011,0.0257009285745494,12.313356310749848,11.5,21.74,17.6,17.9,0.14083509560843013,0.3700050616415758,84,65,1908,1261,24,0.9891060590744019,0.010893873870372772,0.6196961402893066,0.38030385971069336,0.5618041753768921,0.43819576501846313,0.7869247198104858,0.21307528018951416,0.44947078824043274,0.5505291819572449,0.9749594926834106,0.02504047378897667,0.986275851726532,0.01372420135885477
NYSE_GIS_2011,0.03966596663194503,12.19459705205515,10.3,41.7,15.1,14.0,0.14508179598760068,0.38146752196333944,207,68,2127,1344,61,0.9578068256378174,0.042193155735731125,0.2734266221523285,0.7265733480453491,0.5790162682533264,0.4209837317466736,0.943999171257019,0.05600086972117424,0.5717698335647583,0.4282301366329193,0.9146038889884949,0.08539611101150513,0.9862840175628662,0.013715983368456364
NYSE_RMD_2012,0.01034208350500529,12.509667436442005,10.34,31.92,16.1,15.6,0.04439477426506839,0.34659031493656556,70,10,1962,2009,83,0.9998215436935425,0.0001784459309419617,0.9049857258796692,0.09501421451568604,0.9748886227607727,0.02511143684387207,0.9405628442764282,0.05943712592124939,0.9981639981269836,0.0018360173562541604,0.9998201131820679,0.00017989645130001009,0.9994972348213196,0.0005028318264521658
NYSE_VC_2018,0.04799996160003072,10.977465560245877,13.51,21.43,17.9,17.6,0.14568407207345252,0.38102349027570287,28,21,610,323,20,0.9665247201919556,0.033475250005722046,0.4921974837779999,0.5078025460243225,0.679877519607544,0.32012245059013367,0.8990521430969238,0.10094786435365677,0.6598071455955505,0.3401927947998047,0.9172499179840088,0.08275006711483002,0.9928076267242432,0.007192346267402172
NYSE_INGR_2013,0.02222220987655007,9.888729181560583,12.84,16.62,16.8,16.0,0.17096747438607904,0.3938642055618797,10,6,228,109,5,0.9686430096626282,0.03135697543621063,0.312710702419281,0.687289297580719,0.4552226662635803,0.5447773337364197,0.8622546792030334,0.13774533569812775,0.3162377178668976,0.6837623119354248,0.85100919008255,0.14899080991744995,0.9998636245727539,0.00013635764480568469
NYSE_SERV_2019,0.0,10.193017915845527,14.59,22.45,17.7,17.8,0.10524659032723559,0.41016987791181353,7,11,336,91,3,0.9836981892585754,0.01630176045000553,0.6700926423072815,0.3299073874950409,0.6039421558380127,0.3960579037666321,0.8835678100585938,0.11643218994140625,0.41145962476730347,0.5885403752326965,0.9232313632965088,0.07676852494478226,0.9808860421180725,0.019113941118121147
NYSE_AEE_2020,0.022950812147274707,11.04821977681779,13.22,21.02,17.9,17.3,0.05405506587504833,0.4723592568751015,50,7,658,265,26,0.9997981786727905,0.00020179635612294078,0.6425829529762268,0.3574170768260956,0.5684406161308289,0.43155938386917114,0.911981463432312,0.08801853656768799,0.7867165207862854,0.213283509016037,0.9612023830413818,0.03879774361848831,0.9743151068687439,0.02568492293357849
NYSE_KNL_2006,0.0,10.472770745873687,11.75,26.3,16.1,15.6,0.12610388095301883,0.3911380844570501,18,4,246,306,44,0.7894870042800903,0.21051302552223206,0.21771986782550812,0.7822801470756531,0.18241387605667114,0.8175861835479736,0.9708161354064941,0.029183944687247276,0.8335779309272766,0.1664220243692398,0.918695330619812,0.081304632127285,0.9789815545082092,0.02101847529411316
NYSE_NI_2016,0.0,9.912050783196616,16.41,16.05,19.0,20.1,0.12145621755811328,0.36913666112718235,6,3,151,119,1,0.9998760223388672,0.0001239779230672866,0.7638866305351257,0.23611342906951904,0.5768284201622009,0.42317160964012146,0.9212753176689148,0.07872465252876282,0.571376383304596,0.42862358689308167,0.9791138768196106,0.02088603377342224,0.9998679161071777,0.00013205352297518402
NYSE_WMB_2021,0.0020725387527181995,12.814911157128904,10.29,15.81,17.5,17.6,0.12291476334700924,0.3961998097937318,132,77,3510,1746,97,0.9936968684196472,0.006303214468061924,0.3698609471321106,0.6301390528678894,0.39966386556625366,0.6003361344337463,0.8746710419654846,0.12532900273799896,0.6870833039283752,0.3129166066646576,0.9687861204147339,0.031213965266942978,0.9706265330314636,0.02937350794672966
NYSE_URI_2014,0.009493667881750672,10.883747893748222,12.39,32.53,16.4,15.6,0.15899807960982854,0.412758058588447,31,20,528,313,10,0.9998517632484436,0.00014818424824625254,0.5235431790351868,0.47645682096481323,0.656795859336853,0.3432041108608246,0.9373763203620911,0.06262359023094177,0.625562310218811,0.37443771958351135,0.9322970509529114,0.06770285964012146,0.9934597015380859,0.006540230475366116
NYSE_CAJ_2003,0.016979444416492902,12.567568450422847,10.11,24.58,16.8,16.4,0.0837050865513,0.3665316890731828,103,46,2396,1762,29,0.9868233799934387,0.013176580891013145,0.5185246467590332,0.4814754128456116,0.35713234543800354,0.6428676843643188,0.9561042189598083,0.04389583691954613,0.8645134568214417,0.13548652827739716,0.9100723266601562,0.08992766588926315,0.9904270172119141,0.009572961367666721
NYSE_RCI_2019,0.0009578543143817707,11.715155852570897,11.16,23.46,17.0,16.5,0.14596227240896317,0.3607136656235929,49,33,1137,739,16,0.9864925742149353,0.013507411815226078,0.490347295999527,0.5096527338027954,0.5900901556015015,0.40990981459617615,0.7920624613761902,0.20793747901916504,0.44468340277671814,0.5553166270256042,0.9821345806121826,0.01786535046994686,0.9997735023498535,0.0002264710346935317
NYSE_ALB_2021,0.0036153287335264836,12.298437583273115,13.19,17.68,18.5,18.3,0.10597598327090745,0.385330872881628,84,39,1972,1264,50,0.9960024952888489,0.0039975205436348915,0.4978204369544983,0.5021795630455017,0.5407944321632385,0.4592054784297943,0.8761733174324036,0.12382669746875763,0.6632170081138611,0.3367830216884613,0.9290980100631714,0.07090196013450623,0.9863079786300659,0.013691982254385948
NYSE_UPS_2004,0.007092197324078489,11.623965819759219,10.05,26.81,15.6,14.3,0.14317184461141783,0.369048744392346,100,31,1187,617,31,0.9959753155708313,0.004024726338684559,0.4529692530632019,0.5470308065414429,0.44542884826660156,0.5545711517333984,0.9525219798088074,0.04747796058654785,0.5892122983932495,0.4107877314090729,0.9661555290222168,0.03384443372488022,0.9998103380203247,0.0001897205220302567
NYSE_KO_2018,0.02702702450819902,12.217071930988542,12.67,18.49,18.3,19.0,0.10078926666131961,0.3529690315335253,136,27,1725,1053,35,0.9846267104148865,0.015373250469565392,0.6278643012046814,0.3721356987953186,0.5132144689559937,0.48678550124168396,0.9474924802780151,0.05250747501850128,0.7510292530059814,0.24897068738937378,0.7667659521102905,0.2332339733839035,0.9886062145233154,0.011393746361136436
NYSE_ADM_2015,0.021961929434563772,11.45715902306415,14.26,8.3,19.3,20.7,0.12976116262297174,0.35149748660050256,40,16,760,418,16,0.836139976978302,0.16386005282402039,0.5504394769668579,0.4495604634284973,0.3616994023323059,0.6383005976676941,0.8737350702285767,0.1262650042772293,0.5570043325424194,0.4429956376552582,0.9240918755531311,0.07590808719396591,0.9786248803138733,0.021375063806772232
NYSE_YUMC_2019,0.013769360797011911,12.271541983323477,14.32,14.33,19.4,20.7,0.1393977753430112,0.4106299326132256,124,37,1644,1116,41,0.9785007238388062,0.021499281749129295,0.3859769403934479,0.6140230298042297,0.6885859966278076,0.31141406297683716,0.9138913750648499,0.08610861003398895,0.5445623993873596,0.455437570810318,0.9415311217308044,0.05846880003809929,0.9919919967651367,0.00800806749612093
NYSE_DCI_2017,0.0,10.570624377663842,12.9,16.12,17.6,17.2,0.08880157086861001,0.3523505963310431,10,5,343,172,18,0.9997608661651611,0.00023909691662993282,0.5616048574447632,0.4383951425552368,0.697918176651001,0.3020819127559662,0.8556195497512817,0.14438050985336304,0.6039624810218811,0.3960375189781189,0.9779679775238037,0.022031964734196663,0.9779345989227295,0.022065356373786926
NYSE_CMP_2018,0.002096435619195887,11.338619695739318,13.32,18.99,18.4,18.7,0.11644185318834825,0.39080782373130546,20,20,756,368,12,0.9945827126502991,0.005417339038103819,0.6694695949554443,0.33053040504455566,0.40785813331604004,0.59214186668396,0.8304120898246765,0.16958795487880707,0.5376253128051758,0.4623746871948242,0.8243825435638428,0.17561744153499603,0.9409809708595276,0.05901898816227913
